what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1229202719583
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.refresh,1229202723392
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1229202734631
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.copy,1229202740113
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1229202742518
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1229202746427
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1229202748446
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1229202756960
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1229202759188
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1229202760620
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1229202761575
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1229202763783
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1229202770043
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1229202772082
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1229202773029
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1229202781096
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1229202783572
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1229202786709
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1229202787069
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1229202787123
executed,command,org.eclipse.ui.ide,3.4.0.I20080606-1300,org.eclipse.ui.navigate.openResource,1229202787124
started,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1229202787881
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.refresh,1229202788739
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1229202790306
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.findReplace,1229202790367
