what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.101.v200806051910,org.eclipse.wst.xsd.ui,1231533912827
stopped,bundle,org.eclipse.wst.xml.ui,1.0.400.v200806051910,org.eclipse.wst.xml.ui,1231533912827
stopped,bundle,org.eclipse.wst.common.ui,1.1.301.v200805140415,org.eclipse.wst.common.ui,1231533912827
stopped,bundle,org.eclipse.wst.sse.ui,1.1.0.v200806041847,org.eclipse.wst.sse.ui,1231533912827
stopped,bundle,net.sourceforge.phpeclipse.debug.ui,1.2.0.200807121925PRD,net.sourceforge.phpeclipse.debug.ui,1231533912827
stopped,bundle,net.sourceforge.phpeclipse.launching,1.2.0.200807121925PRD,net.sourceforge.phpeclipse.launching,1231533912827
stopped,bundle,net.sourceforge.phpeclipse.debug.core,1.2.0.200807121925PRD,net.sourceforge.phpeclipse.debug.core,1231533912827
stopped,bundle,net.sourceforge.phpeclipse.phpmanual,1.2.0.200807121925PRD,net.sourceforge.phpeclipse.phpmanual,1231533912827
stopped,bundle,net.sourceforge.phpeclipse.phphelp,1.2.0.200807121925PRD,net.sourceforge.phpeclipse.phphelp,1231533912827
stopped,bundle,net.sourceforge.phpeclipse.xdebug.ui,1.2.0.200807121925PRD,net.sourceforge.phpeclipse.xdebug.ui,1231533912828
stopped,bundle,net.sourceforge.phpeclipse.xdebug.core,1.2.0.200807121925PRD,net.sourceforge.phpeclipse.xdebug.core,1231533912828
stopped,bundle,net.sourceforge.phpeclipse,1.2.0.200807121925PRD,net.sourceforge.phpeclipse,1231533912828
stopped,bundle,org.eclipse.search,3.4.0.v20080603-2000,org.eclipse.search,1231533912828
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.4.0.v20080605-1800,org.eclipse.ltk.ui.refactoring,1231533912828
stopped,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1231533912828
stopped,bundle,org.eclipse.team.ui,3.4.0.I20080604,org.eclipse.team.ui,1231533912828
stopped,bundle,net.sourceforge.phpeclipse.smarty.ui,1.2.0.200807121925PRD,net.sourceforge.phpeclipse.smarty.ui,1231533912828
stopped,bundle,net.sourceforge.phpeclipse.xml.ui,1.2.0.200807121925PRD,net.sourceforge.phpeclipse.xml.ui,1231533912828
stopped,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1231533912828
stopped,bundle,net.sourceforge.phpeclipse.externaltools,1.2.0.200807121925PRD,net.sourceforge.phpeclipse.externaltools,1231533912828
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools,1231533912828
stopped,bundle,org.eclipse.debug.ui,3.4.0.v20080529-1300,org.eclipse.debug.ui,1231533912828
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.0.v20080605-1731,org.eclipse.equinox.p2.ui.sdk,1231533912852
stopped,bundle,org.eclipse.equinox.p2.ui,1.0.0.v20080530-1237,org.eclipse.equinox.p2.ui,1231533912852
stopped,bundle,org.eclipse.equinox.security.ui,1.0.0.v20080603-1810,org.eclipse.equinox.security.ui,1231533912852
