what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1229126294707
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1229126298658
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1229126300649
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1229126308078
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1229126308178
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.refresh,1229126310619
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1229126321104
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1229126361864
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1229126361880
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1229126366119
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1229126387546
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1229126389007
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1229126578033
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1229126578639
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1229126634171
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1229126634890
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1229133007989
started,bundle,org.eclipse.mylyn.ide.ant,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ant,1229133011694
started,bundle,org.eclipse.mylyn.java.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.java.ui,1229133011790
started,bundle,org.eclipse.mylyn.resources.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.resources.ui,1229133011814
closed,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1229133012006
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ant,1229133012530
stopped,bundle,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui,1229133012586
stopped,bundle,org.eclipse.mylyn.java.tasks,3.0.0.v20080619-1900,org.eclipse.mylyn.java.tasks,1229133012594
stopped,bundle,org.eclipse.mylyn.java.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.java.ui,1229133012594
